"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 14, 2020","97.37","97.36","97.56","97.33","-","0.03%"
"Jan 13, 2020","97.34","97.35","97.53","97.31","-","-0.02%"
"Jan 10, 2020","97.36","97.43","97.58","97.30","-","-0.09%"
"Jan 09, 2020","97.45","97.27","97.56","97.25","-","0.15%"
"Jan 08, 2020","97.30","96.83","97.35","96.82","-","0.31%"
"Jan 07, 2020","97.00","96.65","97.09","96.62","-","0.34%"
"Jan 06, 2020","96.67","96.90","96.90","96.54","-","-0.18%"
"Jan 03, 2020","96.84","96.79","97.11","96.71","-","-0.01%"
"Jan 02, 2020","96.85","96.48","96.87","96.42","-","0.48%"
"Jan 01, 2020","96.39","96.50","97.10","96.39","-","0.00%"
"Dec 31, 2019","96.39","96.73","96.73","96.36","-","-0.36%"
"Dec 30, 2019","96.74","97.02","97.02","96.61","-","-0.19%"
"Dec 27, 2019","96.92","97.54","97.55","96.92","-","-0.63%"
"Dec 26, 2019","97.53","97.62","97.71","97.49","-","-0.12%"
"Dec 25, 2019","97.65","97.67","97.73","97.35","-","0.00%"
"Dec 24, 2019","97.65","97.66","97.80","97.61","-","-0.01%"
"Dec 23, 2019","97.66","97.67","97.82","97.58","-","-0.03%"
"Dec 20, 2019","97.69","97.39","97.76","97.38","-","0.32%"
"Dec 19, 2019","97.38","97.40","97.49","97.22","-","-0.02%"
"Dec 18, 2019","97.40","97.23","97.47","97.22","-","0.19%"
"Dec 17, 2019","97.22","97.14","97.30","97.03","-","0.21%"
"Dec 16, 2019","97.02","97.18","97.18","96.93","-","-0.15%"
"Dec 13, 2019","97.17","96.78","97.24","96.72","-","-0.24%"
"Dec 12, 2019","97.40","97.08","97.52","96.59","-","0.33%"
"Dec 11, 2019","97.08","97.51","97.60","97.04","-","-0.34%"
"Dec 10, 2019","97.41","97.65","97.66","97.40","-","-0.24%"
"Dec 09, 2019","97.64","97.68","97.72","97.56","-","-0.06%"
"Dec 06, 2019","97.70","97.38","97.84","97.36","-","0.30%"
"Dec 05, 2019","97.41","97.59","97.59","97.36","-","-0.25%"
"Dec 04, 2019","97.65","97.71","97.79","97.43","-","-0.09%"
"Dec 03, 2019","97.74","97.89","97.94","97.64","-","-0.12%"
"Dec 02, 2019","97.86","98.27","98.38","97.81","-","-0.42%"
"Nov 29, 2019","98.27","98.34","98.54","98.22","-","-0.10%"
"Nov 28, 2019","98.37","98.33","98.40","98.26","-","0.00%"
"Nov 27, 2019","98.37","98.30","98.44","98.28","-","0.12%"
"Nov 26, 2019","98.25","98.33","98.38","98.23","-","-0.07%"
"Nov 25, 2019","98.32","98.27","98.38","98.17","-","0.05%"
"Nov 22, 2019","98.27","97.93","98.31","97.84","-","0.29%"
"Nov 21, 2019","97.99","97.86","98.03","97.73","-","0.06%"
"Nov 20, 2019","97.93","97.84","98.04","97.84","-","0.07%"
"Nov 19, 2019","97.86","97.81","97.89","97.75","-","0.07%"
"Nov 18, 2019","97.79","97.98","97.98","97.68","-","-0.21%"
"Nov 15, 2019","98.00","98.17","98.23","97.96","-","-0.16%"
"Nov 14, 2019","98.16","98.34","98.42","98.11","-","-0.21%"
"Nov 13, 2019","98.37","98.33","98.45","98.29","-","0.06%"
"Nov 12, 2019","98.31","98.21","98.42","98.21","-","0.11%"
"Nov 11, 2019","98.20","98.37","98.38","98.13","-","-0.15%"
"Nov 08, 2019","98.35","98.14","98.40","98.10","-","0.21%"
"Nov 07, 2019","98.14","97.95","98.23","97.82","-","0.19%"
"Nov 06, 2019","97.95","97.94","97.98","97.78","-","-0.03%"
"Nov 05, 2019","97.98","97.55","98.01","97.47","-","0.49%"
"Nov 04, 2019","97.50","97.22","97.58","97.17","-","0.27%"
"Nov 01, 2019","97.24","97.30","97.45","97.11","-","-0.11%"
"Oct 31, 2019","97.35","97.44","97.45","97.22","-","-0.31%"
"Oct 30, 2019","97.65","97.67","98.00","97.45","-","-0.04%"
"Oct 29, 2019","97.69","97.75","97.93","97.61","-","-0.07%"
"Oct 28, 2019","97.76","97.85","97.89","97.67","-","-0.07%"
"Oct 25, 2019","97.83","97.69","97.90","97.57","-","0.20%"
"Oct 24, 2019","97.63","97.46","97.78","97.28","-","0.14%"
"Oct 23, 2019","97.49","97.49","97.65","97.42","-","-0.04%"
"Oct 22, 2019","97.53","97.31","97.57","97.26","-","0.21%"
"Oct 21, 2019","97.33","97.34","97.40","97.15","-","0.05%"
"Oct 18, 2019","97.28","97.60","97.66","97.14","-","-0.34%"
"Oct 17, 2019","97.61","97.99","98.11","97.50","-","-0.40%"
"Oct 16, 2019","98.00","98.32","98.42","97.90","-","-0.30%"
"Oct 15, 2019","98.29","98.45","98.64","98.21","-","-0.16%"
"Oct 14, 2019","98.45","98.36","98.53","98.34","-","0.15%"
"Oct 11, 2019","98.30","98.70","98.74","98.20","-","-0.41%"
"Oct 10, 2019","98.70","98.98","99.07","98.62","-","-0.42%"
"Oct 09, 2019","99.12","99.09","99.16","98.90","-","-0.01%"
"Oct 08, 2019","99.13","98.98","99.25","98.85","-","0.16%"
"Oct 07, 2019","98.97","98.82","99.00","98.74","-","0.16%"
"Oct 04, 2019","98.81","98.87","99.00","98.73","-","-0.05%"
"Oct 03, 2019","98.86","99.03","99.19","98.64","-","-0.16%"
"Oct 02, 2019","99.02","99.16","99.42","98.96","-","-0.11%"
"Oct 01, 2019","99.13","99.40","99.67","99.07","-","-0.25%"
"Sep 30, 2019","99.38","99.12","99.46","99.05","-","0.27%"
"Sep 27, 2019","99.11","99.19","99.31","98.99","-","-0.02%"
"Sep 26, 2019","99.13","98.96","99.28","98.84","-","0.09%"
"Sep 25, 2019","99.04","98.38","99.06","98.36","-","0.71%"
"Sep 24, 2019","98.34","98.64","98.70","98.29","-","-0.26%"
"Sep 23, 2019","98.60","98.51","98.83","98.45","-","0.09%"
"Sep 20, 2019","98.51","98.34","98.64","98.14","-","0.24%"
"Sep 19, 2019","98.27","98.57","98.62","98.20","-","-0.29%"
"Sep 18, 2019","98.56","98.21","98.69","98.19","-","0.31%"
"Sep 17, 2019","98.26","98.65","98.74","98.19","-","-0.35%"
"Sep 16, 2019","98.61","98.12","98.71","98.03","-","0.36%"
"Sep 13, 2019","98.26","98.41","98.43","97.86","-","-0.05%"
"Sep 12, 2019","98.31","98.63","99.10","98.19","-","-0.33%"
"Sep 11, 2019","98.64","98.33","98.75","97.86","-","0.32%"
"Sep 10, 2019","98.33","98.33","98.46","98.26","-","0.05%"
"Sep 09, 2019","98.28","98.42","98.51","98.14","-","-0.11%"
"Sep 06, 2019","98.39","98.42","98.52","98.01","-","-0.02%"
"Sep 05, 2019","98.41","98.40","98.53","98.08","-","-0.04%"
"Sep 04, 2019","98.45","98.96","98.97","98.39","-","-0.56%"
"Sep 03, 2019","99.00","99.08","99.37","98.92","-","0.08%"
"Sep 02, 2019","98.92","98.83","99.13","98.81","-","0.00%"
"Aug 30, 2019","98.92","98.43","99.02","98.41","-","0.42%"
"Aug 29, 2019","98.51","98.19","98.55","98.16","-","0.31%"
"Aug 28, 2019","98.21","98.01","98.26","98.00","-","0.21%"
"Aug 27, 2019","98.00","98.05","98.05","97.86","-","-0.08%"
"Aug 26, 2019","98.08","97.59","98.09","97.48","-","0.45%"
"Aug 23, 2019","97.64","98.19","98.45","97.17","-","-0.54%"
"Aug 22, 2019","98.17","98.25","98.39","98.08","-","-0.13%"
"Aug 21, 2019","98.30","98.17","98.33","97.95","-","0.11%"
"Aug 20, 2019","98.19","98.36","98.45","98.12","-","-0.16%"
"Aug 19, 2019","98.35","98.17","98.39","98.13","-","0.21%"
"Aug 16, 2019","98.14","98.13","98.34","98.11","-","0.00%"
"Aug 15, 2019","98.14","97.95","98.24","97.82","-","0.15%"
"Aug 14, 2019","97.99","97.80","98.05","97.67","-","0.18%"
"Aug 13, 2019","97.81","97.48","97.85","97.32","-","0.44%"
"Aug 12, 2019","97.38","97.53","97.74","97.32","-","-0.11%"
"Aug 09, 2019","97.49","97.57","97.64","97.03","-","-0.13%"
"Aug 08, 2019","97.62","97.60","97.74","97.43","-","0.08%"
"Aug 07, 2019","97.54","97.56","97.85","97.31","-","-0.09%"
"Aug 06, 2019","97.63","97.25","97.77","97.21","-","0.11%"
"Aug 05, 2019","97.52","98.11","98.14","97.38","-","-0.56%"
"Aug 02, 2019","98.07","98.41","98.45","98.05","-","-0.30%"
"Aug 01, 2019","98.37","98.59","98.93","98.27","-","-0.15%"
"Jul 31, 2019","98.52","98.03","98.68","98.00","-","0.48%"
"Jul 30, 2019","98.05","98.07","98.21","98.02","-","0.01%"
"Jul 29, 2019","98.04","97.99","98.17","97.90","-","0.03%"
"Jul 26, 2019","98.01","97.79","98.09","97.76","-","0.19%"
"Jul 25, 2019","97.82","97.69","97.92","97.50","-","0.09%"
"Jul 24, 2019","97.73","97.72","97.81","97.55","-","0.03%"
"Jul 23, 2019","97.70","97.30","97.74","97.30","-","0.45%"
"Jul 22, 2019","97.26","97.14","97.30","97.13","-","0.11%"
"Jul 19, 2019","97.15","96.82","97.29","96.76","-","0.37%"
